Country,Region/State,"Zip/Postal Code","Weight (and above)","Shipping Price"
ABW,*,*,0.0000,27130.0000
ABW,*,*,0.5000,30652.0000
AFG,*,*,0.0000,21754.0000
AFG,*,*,0.5000,24959.0000
AGO,*,*,0.0000,19602.0000
AGO,*,*,0.5000,22617.0000
AIA,*,*,0.0000,27130.0000
AIA,*,*,0.5000,30652.0000
ALB,*,*,0.0000,19664.0000
ALB,*,*,0.5000,22829.0000
ARE,*,*,0.0000,19664.0000
ARE,*,*,0.5000,22829.0000
ARG,*,*,0.0000,27130.0000
ARG,*,*,0.5000,30652.0000
ARM,*,*,0.0000,19664.0000
ARM,*,*,0.5000,22829.0000
ASM,*,*,0.0000,27130.0000
ASM,*,*,0.5000,30652.0000
ATG,*,*,0.0000,27130.0000
ATG,*,*,0.5000,30652.0000
AUS,*,*,0.0000,21754.0000
AUS,*,*,0.5000,24959.0000
AUT,*,*,0.0000,15893.0000
AUT,*,*,0.5000,18386.0000
AZE,*,*,0.0000,19664.0000
AZE,*,*,0.5000,22829.0000
BDI,*,*,0.0000,19602.0000
BDI,*,*,0.5000,22617.0000
BEL,*,*,0.0000,15893.0000
BEL,*,*,0.5000,18386.0000
BEN,*,*,0.0000,13754.0000
BEN,*,*,0.5000,15891.0000
BFA,*,*,0.0000,13754.0000
BFA,*,*,0.5000,15891.0000
BGD,*,*,0.0000,21754.0000
BGD,*,*,0.5000,24959.0000
BGR,*,*,0.0000,19664.0000
BGR,*,*,0.5000,22829.0000
BHR,*,*,0.0000,19664.0000
BHR,*,*,0.5000,22829.0000
BHS,*,*,0.0000,27130.0000
BHS,*,*,0.5000,30652.0000
BIH,*,*,0.0000,19664.0000
BIH,*,*,0.5000,22829.0000
BLM,*,*,0.0000,27130.0000
BLM,*,*,0.5000,30652.0000
BLR,*,*,0.0000,19664.0000
BLR,*,*,0.5000,22829.0000
BMU,*,*,0.0000,27130.0000
BMU,*,*,0.5000,30652.0000
BOL,*,*,0.0000,27130.0000
BOL,*,*,0.5000,30652.0000
BRA,*,*,0.0000,27130.0000
BRA,*,*,0.5000,30652.0000
BRB,*,*,0.0000,27130.0000
BRB,*,*,0.5000,30652.0000
BRN,*,*,0.0000,21754.0000
BRN,*,*,0.5000,24959.0000
BTN,*,*,0.0000,21754.0000
BTN,*,*,0.5000,24959.0000
BWA,*,*,0.0000,19602.0000
BWA,*,*,0.5000,22617.0000
CAN,*,*,0.0000,16409.0000
